ENTIDAD,CONCEPTO,TIPO,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
SAN LUIS POTOSI,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,,,,,,,,,,,,,,,,,-100.0,,
SAN LUIS POTOSI,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,,,,,,-100.0,,,,,,,,,,,,,
SAN LUIS POTOSI,LEY GENERAL DE SALUD (L.G.S.),CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,-100.0,,0.0,100.0,-50.0,0.0,100.0,-50.0,-100.0,,0.0,0.0,100.0,50.0,-33.3,-100.0,,,200.0
SAN LUIS POTOSI,LEY GENERAL DE SALUD (L.G.S.),OTROS DELITOS PREVISTOS EN LA L.G.S.,,,,-100.0,,,0.0,-100.0,,,,-100.0,,,,,,,
SAN LUIS POTOSI,OTRAS LEYES Y CODIGOS,CODIGO FISCAL DE LA FEDERACION (C.F.F.),-88.9,0.0,200.0,-66.7,100.0,0.0,0.0,-50.0,100.0,150.0,-40.0,0.0,-33.3,-100.0,,-33.3,0.0,-50.0,200.0
SAN LUIS POTOSI,OTRAS LEYES Y CODIGOS,LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),-100.0,,-50.0,-100.0,,,,-100.0,,,,,,,,-100.0,,-100.0,
SAN LUIS POTOSI,OTRAS LEYES Y CODIGOS,LEY DE MIGRACION,-50.0,-50.0,0.0,0.0,200.0,-66.7,-100.0,,,,-100.0,,,,,,,,
SAN LUIS POTOSI,OTRAS LEYES Y CODIGOS,LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),-50.0,33.3,0.0,0.0,50.0,-50.0,100.0,-50.0,-66.7,200.0,266.7,-63.6,150.0,40.0,-57.1,-83.3,300.0,50.0,16.7
SAN LUIS POTOSI,OTRAS LEYES Y CODIGOS,LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),88.9,-17.6,-28.6,0.0,95.0,5.1,-24.4,51.6,-51.1,21.7,-21.4,9.1,0.0,8.3,0.0,26.9,-60.6,53.8,15.0
SAN LUIS POTOSI,OTRAS LEYES Y CODIGOS,LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),,,,,,,,,,,,,,,,,,,
SAN LUIS POTOSI,OTRAS LEYES Y CODIGOS,LEY FEDERAL PARA PREVENIR Y SANCIONAR LOS DELITOS COMETIDOS EN MATERIA DE HIDROCARBUROS (L.F.P.S.D.C.M.H.),200.0,0.0,33.3,-25.0,0.0,66.7,20.0,-33.3,0.0,25.0,20.0,33.3,-37.5,-60.0,50.0,433.3,25.0,-55.0,-55.6
SAN LUIS POTOSI,OTRAS LEYES Y CODIGOS,LEY GENERAL EN MATERIA DE DELITOS ELECTORALES (L.G.M.D.E.),,,,,-75.0,500.0,-100.0,,,,,-100.0,,,-100.0,,-100.0,,-90.9
