ENTIDAD,CONCEPTO,TIPO,2019,2020,2021,2022,2023,2024,2025
BAJA CALIFORNIA,CONTRA LA SALUD,LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,LEY FEDERAL PARA PREVENIR Y SANCIONAR LOS DELITOS COMETIDOS EN MATERIA DE HIDROCARBUROS (L.F.P.S.D.C.M.H.),0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,LEY GENERAL EN MATERIA DE DELITOS ELECTORALES (L.G.M.D.E.),0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,"LEYES DE INSTITUCIONES DE CREDITO, INVERSION, FIANZAS Y SEGUROS",0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,OTRAS LEYES ESPECIALES,0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,OTROS,14,36,11,15,13,12,12
BAJA CALIFORNIA,CONTRA LA SALUD,OTROS DELITOS DEL C.P.F.,0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,OTROS DELITOS PREVISTOS EN LA L.G.S.,0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,PATRIMONIALES,0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,POSESION,281,281,323,327,410,339,307
BAJA CALIFORNIA,CONTRA LA SALUD,PRODUCCION,167,13,3,3,3,5,6
BAJA CALIFORNIA,CONTRA LA SALUD,SUMINISTRO,1,0,1,0,0,2,1
